Numero,Position,Pays (origine),Nom complet,Age,Seletion,ClubOrigine,DebutContrat,FinContrat
1,G,France,Romain Salin,35,–,Sporting Portugal,2019,2021
16,G,Sénégal,Édouard Mendy,27,Sénégal,Stade de Reims,2019,2023
30,G,République démocratique du Congo,Pépé Bonet,16,–,Stade de Rennes,2019,2022
3,D,France,Damien Da Silva Capitaine,31,France -19 ans,SM Caen,2018,2021
4,D,France,Gerzino Nyamsi,22,France -20 ans,LB Châteaurouxnote 26,2017,2024
5,D,Côte d'Ivoire,Souleyman Doumbia,22,Côte d'Ivoire,Grasshopper Club Zurich,2019,2022
15,D,Madagascar,Jérémy Morel,35,Madagascar,Olympique Lyonnais,2019,2020
26,D,France,Jérémy Gélin,22,France espoirs,Stade de Rennes,2016,2022
27,D,Mali,Hamari Traoré,27,Mali,Stade de Reims,2017,2021
31,D,France,Sacha Boey,18,France -18 ans,Stade de Rennes,2019,2022
38,D,France,Brandon Soppy,17,France -17 ans,Stade de Rennes,2018,2021
6,M,Suède,Jakob Johansson,29,Suède,AEK Athènes,2018,2020
8,M,France,Clément Grenier,28,France,En Avant de Guingamp,2018,2021
10,M,France,Rafik Guitane,20,France -19 ans,Le Havre AC,2018,2022
12,M,France,James Léa Siliki,23,France -19 ans,Stade de Rennes,2016,2021
14,M,France,Benjamin Bourigeaud,25,France -20 ans,RC Lens,2017,2021
17,M,France,Faitout Maouassa,21,France -20 ans,Nîmes Olympique,2017,2021
18,M,Angola,Eduardo Camavinga,16,–,Stade de Rennes,2018,2022
20,M,France,Flavien Tait,26,–,Angers SCO,2019,2023
23,M,France,Adrien Hunou,25,France -20 ans,Clubnote 27,2013,2020
34,M,France,Yann Gboho,18,France -17 ans,Stade de Rennes,2018,2021
37,M,France,Alexis Trouillet,18,France -18 ans,Stade de Rennes,2018,2021
9,A,France,Jordan Siebatcheu,23,France espoirs,Stade de Reims,2018,2023
11,A,Sénégal,M'Baye Niang,24,Sénégal,Torino FC,2018,2023
19,A,France,Armand Laurienté,20,–,US Orléansnote 28,2018,2021
22,A,France,Romain Del Castillo,23,France espoirs,Olympique lyonnais,2018,2022
24,A,France,Jordan Tell,22,France -20 ans,US Orléans,2017,2022
25,A,Sénégal,Diafra Sakho,29,Sénégal,Bursaspor,2018,2020
32,A,France,Lucas Da Cunha,18,France -17 ans,Stade de Rennes,2018,2021
35,A,France,Georginio Rutter,17,France -16 ans,Stade de Rennes,2018,2021
